"Variable","Shock","Impact_Q0","Peak_Response","Peak_Horizon","Peak_95_Significant"
"GDP-D","Monetary Policy Shock",-0.00202303068299131,-0.00210121991234198,3,""
"Unemployment","Monetary Policy Shock",0.0555638912591479,0.0637280692773213,6,""
"CPIF","Monetary Policy Shock",-0.000425712263685478,-0.000846667002398152,13,""
"Interest","Monetary Policy Shock",0.0459640908818822,0.0459640908818822,0,"*"
"Habitual","Monetary Policy Shock",0.00191161876983666,0.00191161876983666,0,""
"DTA","Monetary Policy Shock",-0.0602334942096841,-0.0602334942096841,0,""
"DSR","Monetary Policy Shock",-0.00723771666508664,-0.00954160431984673,5,""
"LAI","Monetary Policy Shock",-1.1726380942096,-1.1726380942096,0,""
"Savings","Monetary Policy Shock",-0.121313602577559,-0.121313602577559,0,""
"REER","Monetary Policy Shock",0.00143134321788119,0.00143134321788119,0,""
"GDP-D","Adverse Macro Shock",-0.00155581863311139,-0.00155581863311139,0,"*"
"Unemployment","Adverse Macro Shock",0.0651904589096089,0.0651904589096089,0,"*"
"CPIF","Adverse Macro Shock",0.000320850846654793,0.000320850846654793,0,""
"Interest","Adverse Macro Shock",-0.0518864404352924,-0.058723553110645,3,""
"Habitual","Adverse Macro Shock",-0.000921278751604647,-0.000921278751604647,0,""
"DTA","Adverse Macro Shock",-0.013337568922184,-0.0948593756482613,15,""
"DSR","Adverse Macro Shock",-0.0356430226518883,-0.0356430226518883,0,""
"LAI","Adverse Macro Shock",-0.571306903281654,0.742820263498249,12,""
"Savings","Adverse Macro Shock",0.294269642171856,0.294269642171856,0,""
"REER","Adverse Macro Shock",-0.00457970100457686,-0.00681427494981448,10,""
