"Variable","Shock","Impact_Q0","Peak_Response","Peak_Horizon","Peak_68_Significant"
"FED Rate (pp)","Monetary Policy Shock",0,0,0,""
"KIX GDP (Log)","Monetary Policy Shock",0,0,0,""
"KIX CPI (Log)","Monetary Policy Shock",0,0,0,""
"GDP-D (Log)","Monetary Policy Shock",-0.00219488976948828,-0.00219488976948828,0,"*"
"Unemployment (pp)","Monetary Policy Shock",0.0705478015845696,0.0844264047367818,2,"*"
"CPIF (Log)","Monetary Policy Shock",-0.000273798408463197,-0.00207759530364682,29,"*"
"Interest (pp)","Monetary Policy Shock",0.0490664000509589,0.0490664000509589,0,"*"
"Durables (log)","Monetary Policy Shock",-0.00275703349858864,-0.00693471956921708,10,""
"DTA (pp)","Monetary Policy Shock",-0.0363941204659381,-0.0363941204659381,0,""
"DSR (pp)","Monetary Policy Shock",0.0150345211526013,0.0150345211526013,0,""
"LAI (pp)","Monetary Policy Shock",1.82731274998694,1.82731274998694,0,""
"Savings (pp)","Monetary Policy Shock",-0.224425814186226,-0.224425814186226,0,""
"REER (log)","Monetary Policy Shock",-0.00424383019380788,-0.00482047133744842,2,""
"FED Rate (pp)","Adverse Macro Shock",0,0,0,""
"KIX GDP (Log)","Adverse Macro Shock",0,0,0,""
"KIX CPI (Log)","Adverse Macro Shock",0,0,0,""
"GDP-D (Log)","Adverse Macro Shock",-0.00374798449961317,-0.00374798449961317,0,"*"
"Unemployment (pp)","Adverse Macro Shock",0.102353868061047,0.102353868061047,0,"*"
"CPIF (Log)","Adverse Macro Shock",-0.000479968361950401,-0.0019201751435062,23,""
"Interest (pp)","Adverse Macro Shock",-0.14902857868987,-0.14902857868987,0,"*"
"Durables (log)","Adverse Macro Shock",0.00145364858993079,-0.00775438200874637,30,""
"DTA (pp)","Adverse Macro Shock",0.085355802160665,0.085355802160665,0,""
"DSR (pp)","Adverse Macro Shock",-0.023425351271358,-0.023425351271358,0,""
"LAI (pp)","Adverse Macro Shock",0.220911289336868,1.04791974422641,14,""
"Savings (pp)","Adverse Macro Shock",-0.140557798547986,-0.140557798547986,0,""
"REER (log)","Adverse Macro Shock",0.00284614748659089,0.00731949942195247,12,""
