"Variable","Shock","Impact_Q0","Peak_Response","Peak_Horizon","Peak_95_Significant"
"GDP-D","Monetary Policy Shock",-0.00151144364715583,-0.00215077347741262,5,""
"Unemployment","Monetary Policy Shock",0.0670298646433253,0.0953290688560944,7,""
"CPIF","Monetary Policy Shock",-0.000438833332636273,-0.00175257027156247,30,""
"Interest","Monetary Policy Shock",0.0504729168436388,0.0504729168436388,0,"*"
"Durables","Monetary Policy Shock",-0.00530929449467847,-0.0063888264593819,2,""
"DTA","Monetary Policy Shock",-0.0548682991582771,-0.0548682991582771,0,""
"DSR","Monetary Policy Shock",-0.0124984235822507,-0.0145772558037441,7,""
"LAI","Monetary Policy Shock",-1.81584104829876,-1.81584104829876,0,""
"Savings","Monetary Policy Shock",-0.0379171368714818,-0.0783834600623448,27,""
"REER","Monetary Policy Shock",-0.000797371326908158,-0.00120356061865305,29,""
"GDP-D","Adverse Macro Shock",-0.00126618348514539,-0.00133799551870115,1,"*"
"Unemployment","Adverse Macro Shock",0.0584754170427985,0.0876323978753721,4,""
"CPIF","Adverse Macro Shock",0.000393661132506206,0.000500199564522971,1,""
"Interest","Adverse Macro Shock",-0.0346561721181461,-0.0618150788916057,6,""
"Durables","Adverse Macro Shock",-0.000809701205574989,-0.00275497854472588,1,""
"DTA","Adverse Macro Shock",-0.00737702843697871,-0.0191524281985601,9,""
"DSR","Adverse Macro Shock",-0.0321613384534465,-0.0321613384534465,0,""
"LAI","Adverse Macro Shock",-1.12068274818488,-1.12068274818488,0,""
"Savings","Adverse Macro Shock",0.314586923148004,0.314586923148004,0,""
"REER","Adverse Macro Shock",-0.0022714065585122,-0.00595833039836087,28,""
